4.06	14.80	88.28	0.33	15.62	12.93
4.32	14.55	68.49	0.27	15.23	12.55
3.56	14.73	70.98	0.40	14.85	11.77
6.60	13.90	85.10	0.28	16	11.77
25.91	14.31	55.43	0.22	14.85	12.55
10.16	15.10	88.37	0.21	15.62	12.93
40.39	15.10	76.38	0.41	15.23	12.93
3.56	14.47	87.02	0.26	16.38	12.16
6.60	14.79	81.69	0.62	15.62	12.55
6.86	14.58	68.37	0.31	15.62	12.55
3.81	14.48	113.93	0.46	16.76	12.55
6.60	15.20	117.71	0.61	17.14	12.55
2.29	14.96	100.09	0.38	16	12.93
6.35	14.93	103.09	0.31	17.14	12.55
30.99	15.18	73.96	0.29	15.62	12.93
4.32	13.84	144.16	0.27	18.28	12.16
